Timestamp,PC,Type,Address,pattern_type,Delta_with_1_last_read,Delta_with_1_last_write,Delta_with_2_last_read,Delta_with_2_last_write,Delta_with_3_last_read,Delta_with_3_last_write,Delta_with_4_last_read,Delta_with_4_last_write,Delta_with_5_last_read,Delta_with_5_last_write,Delta_with_6_last_read,Delta_with_6_last_write,Delta_with_7_last_read,Delta_with_7_last_write,Delta_with_8_last_read,Delta_with_8_last_write,Delta_with_1_next_read,Delta_with_1_next_write,Delta_with_2_next_read,Delta_with_2_next_write,Delta_with_3_next_read,Delta_with_3_next_write,Delta_with_4_next_read,Delta_with_4_next_write,Delta_with_5_next_read,Delta_with_5_next_write,Delta_with_6_next_read,Delta_with_6_next_write,Delta_with_7_next_read,Delta_with_7_next_write,Delta_with_8_next_read,Delta_with_8_next_write
46,0x55b359b91193,W,0x7ffc88cfa5b0,1,-184,-8,-184,-264,46493810976200,-280,-288,-264,46493810976200,-264,46493810976216,-264,46493810976216,-272,-288,-272,-349662015048,-8,-84,-24,-96,-96,304,-72,-46493810976224,-72,-72,-104,-68,-48,-72,-1696
48,0x55b359b91195,W,0x7ffc88cfa5a8,1,-192,-8,-192,-24,46493810976192,-280,46493810976208,-272,-192,-272,46493810976192,-272,46493810976208,-272,46493810976208,-280,-349662015040,-8,-76,-76,-88,-32,312,-96,-46493810976216,-48,-96,-96,-60,-60,-64,-60
50,0x55b359b91197,W,0x7ffc88cfa5a0,1,-200,-8,-200,-24,46493810976184,-280,46493810976200,-296,-304,-280,-200,-280,46493810976184,-280,46493810976200,-280,-349662015032,-8,-68,-80,-80,-56,320,-56,-56,-40,-88,-32,-52,-1680,-32,-52
52,0x55b359b91199,W,0x7ffc88cfa598,1,-208,-8,-208,-24,46493810976176,-40,46493810976192,-296,-312,-40,-208,-288,-208,-288,46493810976176,-288,-349662015024,-60,-60,-16,-72,-80,-46493810976200,-48,-48,-80,-80,-44,-48,-1672,-44,-44
55,0x55b359b9119e,W,0x7ffc88cfa55c,1,-268,-60,-268,-76,46493810976116,-92,46493810976132,-348,-372,-364,-268,-100,-268,-348,-268,-348,-349662014964,-12,0,12,388,-20,-46493810976140,28,12,36,16,16,36,-1612,16,16
57,0x55b359b911a1,W,0x7ffc88cfa550,1,-280,-12,-280,-80,46493810976104,-96,46493810976120,-112,-384,-368,-280,-104,-280,-112,-280,-360,-349662014952,56,0,24,400,24,-46493810976128,-8,-8,48,24,28,28,-1600,28,-1596
59,0x55b359b911a5,R,0x7fab1f54b768,1,-349662015232,-349662014952,-349662015232,-349662015024,46144148961152,-349662015040,46144148961168,-349662015056,-349662015336,-349662015312,-349662015232,-349662015328,-349662015232,-349662015056,-349662015232,-349662015064,349662014964,349662015008,349662014952,349662014944,349662015352,349662014992,349662014976,349662014944,349662014980,349662015000,349662015000,349662014980,349662014980,349662014980,349662014980,349662013356
61,0x55b359b911ae,W,0x7ffc88cfa588,1,349662015008,56,-224,44,46493810976160,-24,46493810976176,-40,-328,-56,-224,-312,-224,-40,-224,-48,-44,-32,-56,-32,-46493810976184,-16,-64,-64,-32,-8,-8,-1656,-28,-28,-28,-28
66,0x55b359b911ba,W,0x7ffc88cfa568,1,349662014976,-32,-256,12,46493810976128,-48,46493810976144,-64,-360,-80,-256,-336,-256,-352,-256,-72,-12,-32,376,0,0,16,4,-32,0,4,4,-1624,4,-1620,4,4
68,0x55b359b911c1,R,0x7ffc88cfa55c,1,349662014964,-12,-268,12,-268,-60,46493810976132,-68,-372,-84,-268,-100,-268,-356,-268,-76,-12,-20,-46493810976140,12,-20,28,16,36,36,16,16,16,16,-1608,16,-1604
71,0x55b359b911c7,R,0x7ffc88cfa550,1,-12,-24,-280,-56,-280,-12,46493810976104,-80,-384,-88,-280,-104,-280,-360,-280,-376,400,-8,24,24,-8,-8,24,48,48,-1600,28,28,28,28,24,-1592
74,0x55b359b911cf,R,0x7ffc88cfa6e0,1,400,376,349662015352,344,120,400,46493810976504,328,46493810976520,312,120,304,120,288,120,32,-46493810976528,-408,-376,-360,-372,-408,-376,-372,-372,-2000,-372,-1996,-372,-372,-376,-372
77,0x55b359b911d5,W,0x7ffc88cfa548,1,-408,-32,-20,-64,-288,-8,46493810976096,-20,46493810976112,-88,-392,-104,-288,-112,-288,-368,-46493810976120,32,0,48,36,56,56,36,36,36,36,-1588,36,-1584,32,-1580
80,0x55b359b91094,R,0x55b359b93fd0,1,-46493810976528,-46493810976120,-46493810976128,-46493810976184,-46144148961176,-46493810976128,-46493810976408,-46493810976140,-8,-46493810976200,-46493810976512,-46493810976216,-46144148961176,-46493810976232,-46493810976408,-46493810976240,46493810976152,46493810976152,46493810976120,46493810976120,46493810976152,46493810976176,46493810976176,46493810974528,46493810976156,46493810976156,46493810976156,46493810976156,46493810976156,46493810976156,46493810976152,46493810976156
82,0x55b359b911da,W,0x7ffc88cfa568,1,46493810976152,32,24,0,12,24,-256,12,46493810976128,-48,-360,-56,349662014976,-72,349662014976,-88,0,16,4,-32,0,4,4,-1624,4,-1620,4,-1616,4,-1612,24,4
84,0x55b359b911dd,R,0x7ffc88cfa568,1,46493810976152,0,-376,0,12,-32,349662014976,12,-256,-48,46493810976144,-56,349662014976,-64,349662014976,-80,-32,16,4,24,24,4,4,4,4,4,4,4,0,-1612,4,4
88,0x55b359b911e7,W,0x7ffc88cfa578,1,16,16,-360,48,40,-16,349662014992,40,-240,-32,46493810976144,-40,-344,-48,349662014992,-56,-48,-48,-16,8,8,-1640,-12,-1636,-12,-1632,-12,-12,8,-1628,-12,-12
121,0x55b359b91277,R,0x7ffc88cfa548,1,-32,-48,46493810976120,0,-8,-32,-20,-8,-288,-20,-288,-88,46493810976112,-96,-20,-104,36,0,32,36,56,36,36,36,36,-1584,32,36,36,-1580,36,36
122,0x55b359b91277,W,0x7ffc88cfa548,1,0,-48,46493810976120,-32,-408,-32,-20,-64,349662014944,-20,-288,-80,46493810976096,-96,-392,-104,36,56,32,-1592,56,-1588,36,36,36,-1584,56,36,36,-1580,36,36
128,0x55b359b9128a,W,0x7ffc88cfa580,1,56,56,24,24,-352,56,48,-8,349662015000,48,-232,-24,46493810976152,-32,46493810976168,-48,-20,-20,-24,-20,-20,-1644,-20,-20,-24,-1640,-20,-20,-20,-1636,-20,-1632
130,0x55b359b9128e,W,0x7ffc88cfa56c,1,36,-20,4,-12,46493810976156,36,28,4,16,28,-252,16,-252,-52,46493810976148,-60,0,-1628,20,0,0,-1624,0,0,20,-1620,0,0,0,0,-4,-1612
133,0x55b359b912ab,R,0x7ffc88cfa56c,1,36,0,4,36,46493810976156,4,-372,4,16,-28,349662014980,16,-252,-44,46493810976132,-60,-4,-1628,0,0,0,-1624,-4,0,0,-1620,0,-1616,0,0,-4,0
135,0x55b359b912ae,R,0x7ffc88cfa568,1,-4,-4,0,-24,46493810976152,-16,-376,32,24,-32,349662014976,24,-256,-48,46493810976128,-56,24,-1624,4,4,4,-1620,24,4,4,4,4,-1612,4,-1608,24,4
138,0x55b359b91297,R,0x7ffc88cfa580,1,24,20,56,0,46493810976176,56,-352,24,48,24,36,48,-232,36,-232,-32,-20,-1648,-20,-20,-24,-1644,0,-1640,-20,-20,-20,-20,-24,-1632,-20,-20
140,0x55b359b9129b,R,0x7ffc88cfa56c,1,-20,0,0,-20,4,36,-372,-12,28,36,16,-28,349662014980,16,-252,-44,0,-1628,0,0,-4,0,0,-1620,0,-1616,0,0,20,-1612,0,0
143,0x55b359b912a1,R,0x7ffc88cfa56c,1,0,0,4,-20,36,36,46493810976156,-12,28,4,16,4,349662014980,28,-252,-44,0,-1628,0,-1624,20,0,0,0,0,-1616,-4,0,0,-1612,0,0
145,0x55b359b912a4,W,0x7ffc88cf9f10,1,-1628,-1628,-1648,-1648,-1628,-1592,-1624,-1640,-2000,-1624,-1612,-1592,349662013352,-1656,-1880,-1612,1628,1628,1624,4,1648,8,1628,1628,1628,12,1648,1628,1628,16,1628,1628
147,0x55b359b912a7,R,0x7ffc88cfa56c,1,0,1628,0,-20,4,36,36,-12,46493810976156,4,28,36,349662014980,4,-252,28,0,0,-4,0,0,-1620,0,0,-4,-1616,0,0,0,-1612,0,-1608
148,0x55b359b912a7,W,0x7ffc88cfa56c,1,0,1628,0,0,-20,36,0,-12,4,4,-372,36,16,4,-252,-28,0,-1624,20,0,0,-1620,0,0,20,-1616,0,0,0,0,-4,-1608
150,0x55b359b912ab,R,0x7ffc88cfa56c,1,0,0,0,0,-20,-20,4,-12,36,4,46493810976156,36,28,4,349662014980,-28,-4,-1624,0,0,0,-1620,-4,0,0,-1616,0,-1612,0,0,-4,0
152,0x55b359b912ae,R,0x7ffc88cfa568,1,-4,-4,-4,1624,-4,-24,0,32,-4,0,0,32,-376,0,12,-32,24,-1620,4,4,4,-1616,24,4,4,4,4,-1608,4,-1604,24,4
155,0x55b359b91297,R,0x7ffc88cfa580,1,24,20,20,1648,20,20,0,56,20,8,56,56,46493810976176,24,48,-8,-20,-1644,-20,-20,-24,-1640,0,-1636,-20,-20,-20,-20,-24,-1628,-20,-20
157,0x55b359b9129b,R,0x7ffc88cfa56c,1,-20,0,0,1628,0,0,-20,-20,4,-12,36,4,4,4,-372,-28,0,-1624,0,0,-4,0,0,-1616,0,-1612,0,0,20,-1608,0,0
160,0x55b359b912a1,R,0x7ffc88cfa56c,1,0,0,4,1628,0,0,0,-20,4,36,0,4,4,36,46493810976156,-28,0,-1624,0,-1620,20,0,0,0,0,-1612,-4,0,0,-1608,0,0
162,0x55b359b912a4,W,0x7ffc88cf9f14,1,-1624,-1624,-1644,4,-1624,-1624,-1624,-1644,-1644,-1588,-1624,-1636,-1588,-1588,46493810974532,-1620,1624,1624,1620,4,1644,8,1624,1624,1624,12,1644,1624,1624,16,1624,1624
164,0x55b359b912a7,R,0x7ffc88cfa56c,1,0,1624,0,1628,4,0,0,-20,0,36,4,-12,36,4,4,4,0,0,-4,0,0,-1616,0,0,-4,-1612,0,0,0,-1608,0,-1604
165,0x55b359b912a7,W,0x7ffc88cfa56c,1,0,1624,0,0,-20,0,0,-20,0,36,-20,-12,0,4,4,36,0,-1620,20,0,0,-1616,0,0,20,-1612,0,0,0,0,-4,-1604
167,0x55b359b912ab,R,0x7ffc88cfa56c,1,0,0,0,0,-20,1628,4,-20,0,36,0,-12,4,4,36,36,-4,-1620,0,0,0,-1616,-4,0,0,-1612,0,-1608,0,0,-4,0
169,0x55b359b912ae,R,0x7ffc88cfa568,1,-4,-4,-4,1620,-4,1624,0,-4,-4,32,-4,-16,-24,0,-4,32,24,-1616,4,4,4,-1612,24,4,4,4,4,-1604,4,-1600,24,4
172,0x55b359b91297,R,0x7ffc88cfa580,1,24,20,20,1644,20,20,0,20,20,0,20,8,20,24,24,56,-20,-1640,-20,-20,-24,-1636,0,-1632,-20,-20,-20,-20,-24,-1624,-20,-20
174,0x55b359b9129b,R,0x7ffc88cfa56c,1,-20,0,0,1624,0,0,-20,1628,4,-20,0,36,0,4,-20,36,0,-1620,0,0,-4,0,0,-1612,0,-1608,0,0,20,-1604,0,0
177,0x55b359b912a1,R,0x7ffc88cfa56c,1,0,0,4,1624,0,0,0,1628,4,0,0,36,0,-12,0,36,0,-1620,0,-1616,20,0,0,0,0,-1608,-4,0,0,-1604,0,0
179,0x55b359b912a4,W,0x7ffc88cf9f18,1,-1620,-1620,-1640,4,-1620,-1620,-1620,8,-1640,-1620,-1620,-1640,-1620,-1632,-1620,-1616,1620,1620,1616,4,1640,8,1620,1620,1620,12,1640,1620,1620,16,1620,1620
181,0x55b359b912a7,R,0x7ffc88cfa56c,1,0,1620,0,1624,4,0,0,1628,0,0,4,-20,0,36,0,4,0,0,-4,0,0,-1612,0,0,-4,-1608,0,0,0,-1604,0,-1600
182,0x55b359b912a7,W,0x7ffc88cfa56c,1,0,1620,0,0,-20,0,0,1628,0,0,-20,-20,0,36,0,-12,0,-1616,20,0,0,-1612,0,0,20,-1608,0,0,0,0,-4,-1600
184,0x55b359b912ab,R,0x7ffc88cfa56c,1,0,0,0,0,-20,1624,4,1628,0,0,0,-20,4,36,0,-12,-4,-1616,0,0,0,-1612,-4,0,0,-1608,0,-1604,0,0,-4,0
186,0x55b359b912ae,R,0x7ffc88cfa568,1,-4,-4,-4,1616,-4,1620,0,-4,-4,-4,-4,-24,-24,32,-4,-16,24,-1612,4,4,4,-1608,24,4,4,4,4,-1600,4,-1596,24,4
189,0x55b359b91297,R,0x7ffc88cfa580,1,24,20,20,1640,20,20,0,20,20,1648,20,0,20,56,24,8,-20,-1636,-20,-20,-24,-1632,0,-1628,-20,-20,-20,-20,-24,-1620,-20,-20
191,0x55b359b9129b,R,0x7ffc88cfa56c,1,-20,0,0,1620,0,0,-20,1624,4,1628,0,0,0,36,-20,-12,0,-1616,0,0,-4,0,0,-1608,0,-1604,0,0,20,-1600,0,0
194,0x55b359b912a1,R,0x7ffc88cfa56c,1,0,0,4,1620,0,0,0,1624,4,0,0,0,0,-20,0,-12,0,-1616,0,-1612,20,0,0,0,0,-1604,-4,0,0,-1600,0,0
196,0x55b359b912a4,W,0x7ffc88cf9f1c,1,-1616,-1616,-1636,4,-1616,-1616,-1616,8,-1636,-1616,-1616,12,-1616,-1636,-1616,-1580,1616,1616,1612,4,1636,8,1616,1616,1616,12,1636,1616,1616,16,1616,1616
198,0x55b359b912a7,R,0x7ffc88cfa56c,1,0,1616,0,1620,4,0,0,1624,0,0,4,1628,0,0,0,36,0,0,-4,0,0,-1608,0,0,-4,-1604,0,0,0,-1600,0,-1596
199,0x55b359b912a7,W,0x7ffc88cfa56c,1,0,1616,0,0,-20,0,0,1624,0,0,-20,1628,0,0,0,-20,0,-1612,20,0,0,-1608,0,0,20,-1604,0,0,0,0,-4,-1596
201,0x55b359b912ab,R,0x7ffc88cfa56c,1,0,0,0,0,-20,1620,4,1624,0,0,0,1628,4,0,0,-20,-4,-1612,0,0,0,-1608,-4,0,0,-1604,0,-1600,0,0,-4,0
203,0x55b359b912ae,R,0x7ffc88cfa568,1,-4,-4,-4,1612,-4,1616,0,-4,-4,-4,-4,1624,-24,-4,-4,-24,24,-1608,4,4,4,-1604,24,4,4,4,4,-1596,4,-1592,24,4
206,0x55b359b91297,R,0x7ffc88cfa580,1,24,20,20,1636,20,20,0,20,20,1644,20,1648,20,20,24,0,-20,-1632,-20,-20,-24,-1628,0,-1624,-20,-20,-20,-20,-24,-1616,-20,-20
208,0x55b359b9129b,R,0x7ffc88cfa56c,1,-20,0,0,1616,0,0,-20,1620,4,1624,0,0,0,0,-20,-20,0,-1612,0,0,-4,0,0,-1604,0,-1600,0,0,20,-1596,0,0
211,0x55b359b912a1,R,0x7ffc88cfa56c,1,0,0,4,1616,0,0,0,1620,4,0,0,0,0,1628,0,-20,0,-1612,0,-1608,20,0,0,0,0,-1600,-4,0,0,-1596,0,0
213,0x55b359b912a4,W,0x7ffc88cf9f20,1,-1612,-1612,-1632,4,-1612,-1612,-1612,8,-1632,-1612,-1612,12,-1612,16,-1612,-1612,1612,1612,1608,4,1632,8,1612,1612,1612,12,1632,1612,1612,16,1612,1612
215,0x55b359b912a7,R,0x7ffc88cfa56c,1,0,1612,0,1616,4,0,0,1620,0,0,4,1624,0,0,0,0,0,0,-4,0,0,-1604,0,0,-4,-1600,0,0,0,-1596,0,-1592
216,0x55b359b912a7,W,0x7ffc88cfa56c,1,0,1612,0,0,-20,0,0,1620,0,0,-20,1624,0,0,0,1628,0,-1608,20,0,0,-1604,0,0,20,-1600,0,0,0,0,-4,-1592
218,0x55b359b912ab,R,0x7ffc88cfa56c,1,0,0,0,0,-20,1616,4,1620,0,0,0,1624,4,0,0,1628,-4,-1608,0,0,0,-1604,-4,0,0,-1600,0,-1596,0,0,-4,0
220,0x55b359b912ae,R,0x7ffc88cfa568,1,-4,-4,-4,1608,-4,1612,0,-4,-4,-4,-4,1620,-24,-4,-4,1624,24,-1604,4,4,4,-1600,24,4,4,4,4,-1592,4,-1588,24,4
223,0x55b359b91297,R,0x7ffc88cfa580,1,24,20,20,1632,20,20,0,20,20,1640,20,1644,20,20,24,1648,-20,-1628,-20,-20,-24,-1624,0,-1620,-20,-20,-20,-20,-24,-1612,-20,-20
225,0x55b359b9129b,R,0x7ffc88cfa56c,1,-20,0,0,1612,0,0,-20,1616,4,1620,0,0,0,0,-20,1628,0,-1608,0,0,-4,0,0,-1600,0,-1596,0,0,20,-1592,0,0
228,0x55b359b912a1,R,0x7ffc88cfa56c,1,0,0,4,1612,0,0,0,1616,4,0,0,0,0,1624,0,1628,0,-1608,0,-1604,20,0,0,0,0,-1596,-4,0,0,-1592,0,0
230,0x55b359b912a4,W,0x7ffc88cf9f24,1,-1608,-1608,-1628,4,-1608,-1608,-1608,8,-1628,-1608,-1608,12,-1608,16,-1608,-1608,1608,1608,1604,4,1628,8,1608,1608,1608,12,1628,1608,1608,16,1608,1608
232,0x55b359b912a7,R,0x7ffc88cfa56c,1,0,1608,0,1612,4,0,0,1616,0,0,4,1620,0,0,0,0,0,0,-4,0,0,-1600,0,0,-4,-1596,0,0,0,-1592,0,-1588
233,0x55b359b912a7,W,0x7ffc88cfa56c,1,0,1608,0,0,-20,0,0,1616,0,0,-20,1620,0,0,0,1624,0,-1604,20,0,0,-1600,0,0,20,-1596,0,0,0,0,-4,-1588
235,0x55b359b912ab,R,0x7ffc88cfa56c,1,0,0,0,0,-20,1612,4,1616,0,0,0,1620,4,0,0,1624,-4,-1604,0,0,0,-1600,-4,0,0,-1596,0,-1592,0,0,-4,0
237,0x55b359b912ae,R,0x7ffc88cfa568,1,-4,-4,-4,1604,-4,1608,0,-4,-4,-4,-4,1616,-24,-4,-4,1620,24,-1600,4,4,4,-1596,24,4,4,4,4,-1588,4,-1584,24,4
240,0x55b359b91297,R,0x7ffc88cfa580,1,24,20,20,1628,20,20,0,20,20,1636,20,1640,20,20,24,1644,-20,-1624,-20,-20,-24,-1620,0,-1616,-20,-20,-20,-20,-24,-1608,-20,-20
242,0x55b359b9129b,R,0x7ffc88cfa56c,1,-20,0,0,1608,0,0,-20,1612,4,1616,0,0,0,0,-20,1624,0,-1604,0,0,-4,0,0,-1596,0,-1592,0,0,20,-1588,0,0
245,0x55b359b912a1,R,0x7ffc88cfa56c,1,0,0,4,1608,0,0,0,1612,4,0,0,0,0,1620,0,1624,0,-1604,0,-1600,20,0,0,0,0,-1592,-4,0,0,-1588,0,0
247,0x55b359b912a4,W,0x7ffc88cf9f28,1,-1604,-1604,-1624,4,-1604,-1604,-1604,8,-1624,-1604,-1604,12,-1604,16,-1604,-1604,1604,1604,1600,4,1624,8,1604,1604,1604,12,1624,1604,1604,16,1604,1604
249,0x55b359b912a7,R,0x7ffc88cfa56c,1,0,1604,0,1608,4,0,0,1612,0,0,4,1616,0,0,0,0,0,0,-4,0,0,-1596,0,0,-4,-1592,0,0,0,-1588,0,-1584
250,0x55b359b912a7,W,0x7ffc88cfa56c,1,0,1604,0,0,-20,0,0,1612,0,0,-20,1616,0,0,0,1620,0,-1600,20,0,0,-1596,0,0,20,-1592,0,0,0,0,-4,-1584
252,0x55b359b912ab,R,0x7ffc88cfa56c,1,0,0,0,0,-20,1608,4,1612,0,0,0,1616,4,0,0,1620,-4,-1600,0,0,0,-1596,-4,0,0,-1592,0,-1588,0,0,-4,0
254,0x55b359b912ae,R,0x7ffc88cfa568,1,-4,-4,-4,1600,-4,1604,0,-4,-4,-4,-4,1612,-24,-4,-4,1616,24,-1596,4,4,4,-1592,24,4,4,4,4,-1584,4,-1580,24,4
257,0x55b359b91297,R,0x7ffc88cfa580,1,24,20,20,1624,20,20,0,20,20,1632,20,1636,20,20,24,1640,-20,-1620,-20,-20,-24,-1616,0,-1612,-20,-20,-20,-20,-24,-1604,-20,-20
259,0x55b359b9129b,R,0x7ffc88cfa56c,1,-20,0,0,1604,0,0,-20,1608,4,1612,0,0,0,0,-20,1620,0,-1600,0,0,-4,0,0,-1592,0,-1588,0,0,20,-1584,0,0
262,0x55b359b912a1,R,0x7ffc88cfa56c,1,0,0,4,1604,0,0,0,1608,4,0,0,0,0,1616,0,1620,0,-1600,0,-1596,20,0,0,0,0,-1588,-4,0,0,-1584,0,0
264,0x55b359b912a4,W,0x7ffc88cf9f2c,1,-1600,-1600,-1620,4,-1600,-1600,-1600,8,-1620,-1600,-1600,12,-1600,16,-1600,-1600,1600,1600,1596,4,1620,8,1600,1600,1600,12,1620,1600,1600,16,1600,1600
266,0x55b359b912a7,R,0x7ffc88cfa56c,1,0,1600,0,1604,4,0,0,1608,0,0,4,1612,0,0,0,0,0,0,-4,0,0,-1592,0,0,-4,-1588,0,0,0,-1584,0,-1580
267,0x55b359b912a7,W,0x7ffc88cfa56c,1,0,1600,0,0,-20,0,0,1608,0,0,-20,1612,0,0,0,1616,0,-1596,20,0,0,-1592,0,0,20,-1588,0,0,0,0,-4,-1580
269,0x55b359b912ab,R,0x7ffc88cfa56c,1,0,0,0,0,-20,1604,4,1608,0,0,0,1612,4,0,0,1616,-4,-1596,0,0,0,-1592,-4,0,0,-1588,0,-1584,0,0,-4,0
271,0x55b359b912ae,R,0x7ffc88cfa568,1,-4,-4,-4,1596,-4,1600,0,-4,-4,-4,-4,1608,-24,-4,-4,1612,24,-1592,4,4,4,-1588,24,4,4,4,4,-1580,4,-1576,24,4
274,0x55b359b91297,R,0x7ffc88cfa580,1,24,20,20,1620,20,20,0,20,20,1628,20,1632,20,20,24,1636,-20,-1616,-20,-20,-24,-1612,0,-1608,-20,-20,-20,-20,-24,-1600,-20,-20
276,0x55b359b9129b,R,0x7ffc88cfa56c,1,-20,0,0,1600,0,0,-20,1604,4,1608,0,0,0,0,-20,1616,0,-1596,0,0,-4,0,0,-1588,0,-1584,0,0,20,-1580,0,0
279,0x55b359b912a1,R,0x7ffc88cfa56c,1,0,0,4,1600,0,0,0,1604,4,0,0,0,0,1612,0,1616,0,-1596,0,-1592,20,0,0,0,0,-1584,-4,0,0,-1580,0,0
281,0x55b359b912a4,W,0x7ffc88cf9f30,1,-1596,-1596,-1616,4,-1596,-1596,-1596,8,-1616,-1596,-1596,12,-1596,16,-1596,-1596,1596,1596,1592,4,1616,8,1596,1596,1596,12,1616,1596,1596,16,1596,1596
283,0x55b359b912a7,R,0x7ffc88cfa56c,1,0,1596,0,1600,4,0,0,1604,0,0,4,1608,0,0,0,0,0,0,-4,0,0,-1588,0,0,-4,-1584,0,0,0,-1580,0,-1576
284,0x55b359b912a7,W,0x7ffc88cfa56c,1,0,1596,0,0,-20,0,0,1604,0,0,-20,1608,0,0,0,1612,0,-1592,20,0,0,-1588,0,0,20,-1584,0,0,0,0,-4,-1576
286,0x55b359b912ab,R,0x7ffc88cfa56c,1,0,0,0,0,-20,1600,4,1604,0,0,0,1608,4,0,0,1612,-4,-1592,0,0,0,-1588,-4,0,0,-1584,0,-1580,0,0,-4,0
288,0x55b359b912ae,R,0x7ffc88cfa568,1,-4,-4,-4,1592,-4,1596,0,-4,-4,-4,-4,1604,-24,-4,-4,1608,24,-1588,4,4,4,-1584,24,4,4,4,4,-1576,4,-1572,24,4
291,0x55b359b91297,R,0x7ffc88cfa580,1,24,20,20,1616,20,20,0,20,20,1624,20,1628,20,20,24,1632,-20,-1612,-20,-20,-24,-1608,0,-1604,-20,-20,-20,-20,-24,-1596,-20,-20
293,0x55b359b9129b,R,0x7ffc88cfa56c,1,-20,0,0,1596,0,0,-20,1600,4,1604,0,0,0,0,-20,1612,0,-1592,0,0,-4,0,0,-1584,0,-1580,0,0,20,-1576,0,0
296,0x55b359b912a1,R,0x7ffc88cfa56c,1,0,0,4,1596,0,0,0,1600,4,0,0,0,0,1608,0,1612,0,-1592,0,-1588,20,0,0,0,0,-1580,-4,0,0,-1576,0,0
298,0x55b359b912a4,W,0x7ffc88cf9f34,1,-1592,-1592,-1612,4,-1592,-1592,-1592,8,-1612,-1592,-1592,12,-1592,16,-1592,-1592,1592,1592,1588,4,1612,8,1592,1592,1592,12,1612,1592,1592,16,1592,1592
300,0x55b359b912a7,R,0x7ffc88cfa56c,1,0,1592,0,1596,4,0,0,1600,0,0,4,1604,0,0,0,0,0,0,-4,0,0,-1584,0,0,-4,-1580,0,0,0,-1576,0,-1572
